datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.730000,20.180000,0.030000,0.410000,True,1
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.990000,20.460000,0.030000,0.440000,True,1
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.070000,19.440000,0.010000,0.370000,True,1
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.210000,19.580000,0.020000,0.350000,True,1
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.380000,19.790000,0.040000,0.370000,True,1
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.420000,19.900000,0.100000,0.390000,True,1
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.130000,19.730000,0.240000,0.360000,True,1
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.590000,19.990000,0.060000,0.340000,True,1
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,19.070000,19.520000,0.050000,0.400000,True,1
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,18.290000,18.960000,0.130000,0.530000,True,1
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,18.820000,21.820000,2.440000,0.570000,True,1
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,21.920000,23.610000,0.980000,0.710000,True,1
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,22.110000,23.530000,0.760000,0.670000,True,1
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,20.620000,22.110000,0.890000,0.600000,True,1
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,20.750000,21.330000,0.010000,0.570000,True,1
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,21.180000,21.710000,0.000000,0.530000,True,1
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,25.540000,26.110000,0.060000,0.510000,True,1
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.990000,32.530000,0.170000,0.360000,True,1
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.410000,31.720000,0.070000,0.250000,True,1
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.870000,32.150000,0.040000,0.240000,True,1
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,33.690000,33.890000,0.010000,0.190000,True,1
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,28.990000,29.200000,0.000000,0.210000,True,1
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,26.220000,26.420000,0.000000,0.200000,True,1
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,23.500000,23.630000,0.000000,0.130000,True,1
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,27.840000,28.090000,0.010000,0.240000,True,1
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,25.330000,25.540000,0.000000,0.210000,True,1
1/2/2025 7:00:00 AM,1/2/2025 2:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,25.810000,25.970000,0.000000,0.160000,True,1
1/2/2025 8:00:00 AM,1/2/2025 3:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,26.350000,26.510000,0.010000,0.140000,True,1
1/2/2025 9:00:00 AM,1/2/2025 4:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,25.980000,26.180000,0.010000,0.190000,True,1
1/2/2025 10:00:00 AM,1/2/2025 5:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,30.110000,30.310000,0.010000,0.200000,True,1
1/2/2025 11:00:00 AM,1/2/2025 6:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,30.870000,30.990000,0.000000,0.120000,True,1
1/2/2025 12:00:00 PM,1/2/2025 7:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,58.300000,58.720000,0.140000,0.280000,True,1
1/2/2025 1:00:00 PM,1/2/2025 8:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,39.930000,40.400000,0.080000,0.390000,True,1
1/2/2025 2:00:00 PM,1/2/2025 9:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,33.920000,34.740000,0.270000,0.560000,True,1
1/2/2025 3:00:00 PM,1/2/2025 10:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,34.340000,35.330000,0.300000,0.690000,True,1
1/2/2025 4:00:00 PM,1/2/2025 11:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,30.630000,31.260000,0.050000,0.570000,True,1
1/2/2025 5:00:00 PM,1/2/2025 12:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,33.310000,34.180000,0.260000,0.610000,True,1
1/2/2025 6:00:00 PM,1/2/2025 1:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,37.240000,34.650000,-3.230000,0.640000,True,1
1/2/2025 7:00:00 PM,1/2/2025 2:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.330000,31.650000,-0.190000,0.520000,True,1
1/2/2025 8:00:00 PM,1/2/2025 3:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,30.750000,31.270000,0.160000,0.350000,True,1
1/2/2025 9:00:00 PM,1/2/2025 4:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,57.040000,57.800000,0.230000,0.540000,True,1
1/2/2025 10:00:00 PM,1/2/2025 5:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,112.580000,112.650000,-0.370000,0.440000,True,1
1/2/2025 11:00:00 PM,1/2/2025 6:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,46.950000,47.690000,0.260000,0.480000,True,1
1/3/2025 12:00:00 AM,1/2/2025 7:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,47.510000,48.280000,0.130000,0.630000,True,1
1/3/2025 1:00:00 AM,1/2/2025 8:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,56.330000,57.160000,0.240000,0.600000,True,1
1/3/2025 2:00:00 AM,1/2/2025 9:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,46.370000,46.690000,0.000000,0.320000,True,1
1/3/2025 3:00:00 AM,1/2/2025 10:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,33.020000,33.270000,0.150000,0.100000,True,1
1/3/2025 4:00:00 AM,1/2/2025 11:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.380000,33.860000,2.470000,0.000000,True,1
1/3/2025 5:00:00 AM,1/3/2025 12:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,27.550000,29.230000,1.760000,-0.090000,True,1
1/3/2025 6:00:00 AM,1/3/2025 1:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,29.640000,31.580000,2.060000,-0.110000,True,1
1/3/2025 7:00:00 AM,1/3/2025 2:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,26.180000,28.360000,2.330000,-0.160000,True,1
1/3/2025 8:00:00 AM,1/3/2025 3:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,28.250000,30.720000,2.660000,-0.190000,True,1
1/3/2025 9:00:00 AM,1/3/2025 4:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,28.540000,30.160000,1.890000,-0.280000,True,1
1/3/2025 10:00:00 AM,1/3/2025 5:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,26.770000,27.060000,0.610000,-0.320000,True,1
1/3/2025 11:00:00 AM,1/3/2025 6:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,71.390000,78.850000,8.200000,-0.730000,True,1
1/3/2025 12:00:00 PM,1/3/2025 7:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,65.020000,54.280000,-9.950000,-0.790000,True,1
1/3/2025 1:00:00 PM,1/3/2025 8:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,51.800000,44.820000,-6.400000,-0.580000,True,1
1/3/2025 2:00:00 PM,1/3/2025 9:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,47.210000,47.530000,0.440000,-0.120000,True,1
1/3/2025 3:00:00 PM,1/3/2025 10:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,34.090000,34.330000,0.180000,0.050000,True,1
1/3/2025 4:00:00 PM,1/3/2025 11:00:00 AM,32411333,FULTON,138 KV,T1,LOAD,AEP,30.750000,31.140000,0.230000,0.170000,True,1
1/3/2025 5:00:00 PM,1/3/2025 12:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,31.190000,29.480000,-2.020000,0.300000,True,1
1/3/2025 6:00:00 PM,1/3/2025 1:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,39.950000,34.520000,-5.930000,0.500000,True,1
1/3/2025 7:00:00 PM,1/3/2025 2:00:00 PM,32411333,FULTON,138 KV,T1,LOAD,AEP,36.820000,32.860000,-4.360000,0.410000,True,1
