datetime_beginning_utc,datetime_beginning_ept,requirement,regd_ssmw,rega_ssmw,regd_procure,rega_procure,total_mw,deficiency,rto_perfscore,rega_mileage,regd_mileage,rega_hourly,regd_hourly,is_approved,modified_datetime_utc
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,525,198.5,132.3,84.4,109.7,525.0,0.0,0.90,6.2,30.7,8.7,28.0,1,2/7/2025 11:06:27 AM
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,525,198.5,109.9,84.0,132.4,525.0,0.0,0.91,6.2,30.7,6.9,32.5,1,2/7/2025 11:06:27 AM
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,525,231.7,132.3,49.8,111.4,525.0,0.0,0.91,6.2,30.7,7.5,32.7,1,2/7/2025 11:06:27 AM
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,525,231.9,31.4,48.7,213.0,525.0,0.0,0.89,6.2,30.7,9.3,36.4,1,2/7/2025 11:06:27 AM
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,800,276.4,132.3,91.0,300.2,800.0,0.0,0.89,6.2,30.7,5.9,43.3,1,2/7/2025 11:06:27 AM
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,800,243.4,141.4,155.3,259.8,800.0,0.0,0.89,6.2,30.7,7.5,30.3,1,2/7/2025 11:06:27 AM
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,800,238.1,232.8,166.5,162.7,800.0,0.0,0.90,6.2,30.7,4.6,36.4,1,2/7/2025 11:06:27 AM
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,800,246.8,271.0,156.5,125.7,800.0,0.0,0.89,6.2,30.7,4.3,36.3,1,2/7/2025 11:06:27 AM
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,800,240.0,271.0,163.5,125.6,800.0,0.0,0.88,6.2,30.7,5.0,34.5,1,2/7/2025 11:06:27 AM
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,525,167.3,241.6,116.0,0.0,525.0,0.0,0.94,6.2,30.7,6.2,29.2,1,2/7/2025 11:06:27 AM
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,525,167.4,241.5,116.0,0.0,525.0,0.0,0.94,6.2,30.7,5.0,37.6,1,2/7/2025 11:06:27 AM
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,525,168.2,225.0,118.2,13.7,525.0,0.0,0.90,6.2,30.7,7.2,39.3,1,2/7/2025 11:06:27 AM
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,525,167.9,220.0,118.3,18.9,525.0,0.0,0.91,6.2,30.7,6.3,34.2,1,2/7/2025 11:06:27 AM
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,525,165.6,139.2,111.5,114.6,530.9,0.0,0.93,6.2,30.7,2.1,22.1,1,2/7/2025 11:06:27 AM
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,525,165.6,126.4,118.5,114.5,525.0,0.0,0.92,6.2,30.7,6.1,33.0,1,2/7/2025 11:06:27 AM
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,525,165.6,126.4,118.5,114.6,525.0,0.0,0.89,6.2,30.7,9.2,34.7,1,2/7/2025 11:06:27 AM
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,800,235.5,218.9,168.3,177.3,800.0,0.0,0.88,6.2,30.7,6.7,26.2,1,2/7/2025 11:06:27 AM
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,800,237.8,222.5,160.8,179.0,800.0,0.0,0.90,6.2,30.7,7.3,31.6,1,2/7/2025 11:06:27 AM
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,800,237.4,316.4,171.6,74.5,800.0,0.0,0.90,6.2,30.7,4.3,26.2,1,2/7/2025 11:06:27 AM
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,800,237.6,248.7,172.2,141.6,800.0,0.0,0.91,6.2,30.7,6.6,37.0,1,2/7/2025 11:06:27 AM
